row,column,area difference,gw path length
3,58,240.5,266.8223049044609
3,59,243.5,269.5206472873688
3,60,237.5,267.8523606657982
3,61,237.0,267.0550866127014
3,62,236.0,266.61410361528397
3,63,232.5,269.11191457509995
3,64,231.0,269.939244389534
3,65,232.0,269.45129507780075
3,66,229.0,271.03051167726517
3,67,229.0,270.68517130613327
3,68,229.0,270.5370815396309
3,69,19.0,268.88570272922516
3,70,17.5,267.12834334373474
3,71,13.5,267.3944671154022
3,72,9.5,266.5704208612442
3,73,4.5,266.65620732307434
3,74,1.5,265.36660039424896
3,75,1.0,263.9469115138054
3,76,0.0,263.88789451122284
3,77,0.0,263.88789451122284
3,78,1.5,266.8365446329117
3,79,2.0,269.17969048023224
3,80,2.0,272.50592851638794
4,1,1189.0,488.5203375816345
4,2,617.5,478.1405633687973
4,3,617.5,468.1405633687973
4,4,617.5,461.1405633687973
4,5,617.5,455.09140253067017
4,6,617.5,448.51656675338745
4,7,617.5,441.94173097610474
4,8,617.5,439.43892645835876
4,9,625.5,433.24229407310486
4,10,612.5,425.64178335666656
4,11,617.0,419.7554337978363
4,12,579.5,414.1505422592163
4,13,771.0,410.5984404683113
4,14,766.5,404.04209703207016
4,15,748.0,398.43439000844955
4,16,737.0,393.16765624284744
4,17,734.0,387.546333193779
4,18,715.0,378.98731619119644
4,19,713.5,371.91624850034714
4,20,712.5,364.61787444353104
4,21,701.0,358.4364426136017
4,22,659.5,349.4124804139137
4,23,656.5,340.92501014471054
4,24,655.5,332.4932705760002
4,25,648.0,325.02332359552383
4,26,648.0,319.02332359552383
4,27,648.5,318.8162168264389
4,28,648.5,319.290544629097
4,29,629.0,316.76158064603806
4,30,629.5,312.3407945036888
4,31,624.0,308.14026033878326
4,32,623.0,306.6714133620262
4,33,622.0,306.21132802963257
4,34,494.0,304.6725023984909
4,35,490.5,301.8440753221512
4,36,488.5,299.49326235055923
4,37,488.0,298.7359029650688
4,38,473.5,294.973065495491
4,39,471.5,292.6222525238991
4,40,470.0,291.03975236415863
4,41,469.0,290.87256026268005
4,42,275.5,290.1430675983429
4,43,274.0,286.34140998125076
4,44,270.0,283.5741889476776
4,45,265.0,281.04632222652435
4,46,257.5,278.25890707969666
4,47,257.0,274.0162664651871
4,48,255.5,272.0518003106117
4,49,242.0,271.1529237627983
4,50,244.0,269.080761551857
4,51,243.5,267.7020818591118
4,52,236.0,266.61410361528397
4,53,235.5,267.9927833080292
4,54,228.5,269.2009845972061
4,55,232.0,269.1966037750244
4,56,233.5,268.2009845972061
4,57,236.0,266.61410361528397
4,58,236.0,266.61410361528397
4,59,236.0,266.61410361528397
4,60,236.0,266.61410361528397
4,61,235.5,267.0594674348831
4,62,235.0,269.02393358945847
4,63,227.0,270.0671345591545
4,64,227.0,270.0671345591545
4,65,219.5,271.26657420396805
4,66,219.5,271.26657420396805
4,67,27.5,272.834352850914
4,68,0.0,270.95896220207214
4,69,18.0,267.86988669633865
4,70,16.5,267.42013931274414
4,71,1.5,265.03817331790924
4,72,1.0,264.2108435034752
4,73,0.0,263.88789451122284
4,74,0.0,263.88789451122284
4,75,1.0,264.38789451122284
4,76,4.5,264.4523868560791
4,77,6.0,266.5026394724846
4,78,9.0,271.3567414879799
4,79,12.5,271.35892778635025
4,80,15.5,275.0517948269844
5,1,1180.0,482.3121335506439
5,2,1179.0,477.80884450674057
5,3,617.5,468.3700532913208
5,4,617.5,460.3700532913208
5,5,617.5,452.3700532913208
5,6,617.5,444.3700532913208
5,7,617.5,437.20285844802856
